Prob_Percent,S1_Dir,S1_Dip,S2_Dir,S2_Dip,S3_Dir,S3_Dip
81.8,226,37,50,53,317,2
81.8,226,37,51,52,318,2
81.8,227,37,47,53,137,0
81.8,227,37,47,53,137,0
81.8,226,38,50,52,318,2
81.8,226,38,51,52,318,2
81.8,228,37,48,53,138,0
81.8,227,37,47,53,137,0
81.8,227,38,47,52,137,0
81.8,227,38,47,52,137,0
81.8,226,38,50,52,318,2
81.8,226,39,51,51,318,2
81.8,228,37,48,53,138,0
81.8,228,37,48,53,138,0
81.8,228,38,48,52,138,0
81.8,227,38,47,52,137,0
81.8,227,38,47,52,137,0
81.8,227,39,47,51,137,0
81.8,226,39,50,51,318,2
81.8,226,39,51,51,318,2
81.8,229,37,49,53,139,0
81.8,229,37,49,53,139,0
81.8,228,38,48,52,138,0
81.8,228,38,48,52,138,0
81.8,228,38,48,52,138,0
81.8,227,39,47,51,137,0
81.8,227,39,47,51,137,0
81.8,227,39,47,51,137,0
81.8,226,40,48,50,317,1
81.8,226,40,51,50,318,2
81.8,229,37,49,53,139,0
81.8,229,37,49,53,139,0
81.8,229,38,49,52,139,0
81.8,229,38,49,52,139,0
81.8,228,38,48,52,138,0
81.8,228,39,48,51,138,0
81.8,228,39,48,51,138,0
81.8,227,39,47,51,137,0
81.8,227,40,47,50,137,0
81.8,227,40,47,50,137,0
81.8,226,40,48,50,317,1
81.8,226,41,51,49,318,2
81.8,230,37,50,53,140,0
81.8,230,38,50,52,140,0
81.8,229,38,49,52,139,0
81.8,229,38,49,52,139,0
81.8,229,39,49,51,139,0
81.8,228,39,48,51,138,0
81.8,228,39,48,51,138,0
81.8,228,40,48,50,138,0
81.8,227,40,47,50,137,0
81.8,227,40,47,50,137,0
81.8,227,41,47,49,137,0
81.8,226,41,48,49,317,1
81.8,226,41,49,49,317,2
81.8,230,37,50,53,140,0
81.8,230,38,50,52,140,0
81.8,230,38,50,52,140,0
81.8,230,38,50,52,140,0
81.8,229,39,49,51,139,0
81.8,229,39,49,51,139,0
81.8,229,39,49,51,139,0
81.8,228,40,48,50,138,0
81.8,228,40,48,50,138,0
81.8,228,40,48,50,138,0
81.8,227,41,47,49,137,0
81.8,227,41,47,49,137,0
81.8,227,41,47,49,137,0
81.8,226,42,48,48,317,1
81.8,226,42,49,48,317,1
81.8,226,42,50,48,318,2
81.8,225,43,51,47,318,3
81.8,231,37,51,53,141,0
81.8,231,38,51,52,141,0
81.8,230,38,50,52,140,0
81.8,230,39,50,51,140,0
81.8,230,39,50,51,140,0
81.8,229,39,49,51,139,0
81.8,229,40,49,50,139,0
81.8,229,40,49,50,139,0
81.8,228,40,48,50,138,0
81.8,228,41,48,49,138,0
81.8,228,41,48,49,138,0
81.8,227,41,47,49,137,0
81.8,227,42,47,48,137,0
81.8,227,42,47,48,137,0
81.8,226,42,48,48,317,1
81.8,226,43,49,47,317,1
81.8,226,43,50,47,318,2
81.8,231,38,51,52,141,0
81.8,231,38,51,52,141,0
81.8,230,39,50,51,140,0
81.8,230,39,50,51,140,0
81.8,230,40,50,50,140,0
81.8,229,40,49,50,139,0
81.8,229,40,49,50,139,0
81.8,229,41,49,49,139,0
81.8,228,41,48,49,138,0
81.8,228,41,48,49,138,0
81.8,228,42,48,48,138,0
81.8,227,42,47,48,137,0
81.8,227,42,47,48,137,0
81.8,227,43,47,47,137,0
81.8,226,43,48,47,317,1
81.8,226,43,49,47,317,1
81.8,226,43,50,46,318,2
81.8,231,39,51,51,141,0
81.8,231,39,51,51,141,0
81.8,230,39,50,51,140,0
81.8,230,40,50,50,140,0
81.8,230,40,50,50,140,0
81.8,229,40,49,50,139,0
81.8,229,41,49,49,139,0
81.8,229,41,49,49,139,0
81.8,228,41,48,49,138,0
81.8,228,42,48,48,138,0
81.8,228,42,48,48,138,0
81.8,227,42,47,48,137,0
81.8,227,43,47,47,137,0
81.8,227,43,47,47,137,0
81.8,226,43,48,47,317,1
81.8,226,44,49,46,317,1
81.8,226,44,50,46,318,2
81.8,231,40,51,50,141,0
81.8,230,40,50,50,140,0
81.8,230,40,50,50,140,0
81.8,230,41,50,49,140,0
81.8,230,41,50,49,140,0
81.8,229,41,49,49,139,0
81.8,229,42,49,48,139,0
81.8,229,42,49,48,139,0
81.8,228,42,48,48,138,0
81.8,228,43,48,47,138,0
81.8,228,43,48,47,138,0
81.8,227,43,47,47,137,0
81.8,227,44,47,46,137,0
81.8,226,44,48,46,317,1
81.8,226,44,49,46,318,1
81.8,231,40,51,50,141,0
81.8,231,41,51,49,141,0
81.8,230,41,50,49,140,0
81.8,230,41,50,49,140,0
81.8,230,42,50,48,140,0
81.8,229,42,49,48,139,0
81.8,229,42,49,48,139,0
81.8,229,43,49,47,139,0
81.8,228,43,48,47,138,0
81.8,228,43,48,47,138,0
81.8,228,44,48,46,138,0
81.8,227,44,47,46,137,0
81.8,227,44,47,46,137,0
81.8,226,45,48,45,317,1
81.8,231,41,51,49,141,0
81.8,231,41,51,49,141,0
81.8,230,42,50,48,140,0
81.8,230,42,50,48,140,0
81.8,230,42,50,48,140,0
81.8,229,43,49,47,139,0
81.8,229,43,49,47,139,0
81.8,229,43,49,47,139,0
81.8,228,44,48,46,138,0
81.8,228,44,48,46,138,0
81.8,228,44,48,46,138,0
81.8,231,42,51,48,141,0
81.8,231,42,51,48,141,0
81.8,230,42,50,48,140,0
81.8,230,43,50,47,140,0
81.8,230,43,50,47,140,0
81.8,229,43,49,47,139,0
81.8,229,44,49,46,139,0
81.8,231,43,51,47,141,0
